MONSTER, NAME, DAMAGE, ANSWER1, ANSWER2, ANSWER3, CORRECT_ANSWER
Sebastian, ¿Cual_es_la_mejor_carrera_de_todas?, 999, _ITC, _IDM, _IIS, _IRS
Dragon_de_Compilacion, ¿Cual_es_el_orden_de_complejidad_del_algoritmo_para_la_multiplicacion_de_matrices_de_tamano_nxn?, 12, O(n^2), O(n_log_n), O(n!), O(n^3)
Goomba_de_Codigo, ¿Cual_es_la_complejidad_en_el_peor_caso_para_el_algoritmo_de_Ordenamiento_por_Intercambio?, 3, O(n_log_n), O(n), O(log_n), O(n^2)
Grifo_de_la_Busqueda, ¿Cual_es_la_eficiencia_de_orden_para_el_algoritmo_de_Busqueda_Binaria?, 7, O(n), O(n^2), O(n_log_n), O(log2_n)
Guerrero_de_la_Burbuja, ¿Cual_es_el_orden_de_eficiencia_(en_el_peor_caso)_de_la_Busqueda_Secuencial?, 2, O(log2_n), O(n_log_n), O(1), O(n)
Goomba_de_Codigo, ¿Cual_es_el_peor_caso_de_complejidad_para_el_algoritmo_Quick_Sort?, 3, O(n_log_n), O(log_n), O(n), O(n^2)
Goomba_de_Codigo, ¿Cual_es_la_complejidad_en_el_peor_caso_para_el_algoritmo_Merge_Sort?, 10, O(n^2), O(n!), O(n), O(n_log_n)
Bruja_de_la_Insercion, "En_el_algoritmo_Quick_Sort,_¿como_se_llama_el_elemento_que_divide_el_arreglo_en_dos_particiones?", 4, Subarreglo, Mediana, Raiz, Pivote
Bruja_de_la_Insercion, ¿Cual_es_el_mejor_caso_de_complejidad_para_el_Ordenamiento_por_Insercion?, 4, O(n^2), O(n_log_n), O(log_n), O(n)
Guerrero_de_la_Burbuja, ¿Que_algoritmo_busca_el_valor_mas_grande_(o_menor)_y_lo_intercambia_por_el_valor_en_el_extremo_opuesto?, 2, Quick_Sort, Merge_Sort, Burbuja, Seleccion_Directa
Fantasma_de_Datos, ¿Cuales_son_las_siglas_en_ingles_para_Tipo_de_Datos_Abstracto?, 10, DTF, DTA, TDS, ADT
Espectro_de_la_Pila, ¿Cual_es_la_filosofia_de_orden_de_entrada_de_una_Pila_(Stack)?, 8, FIFO, FILO, FOFI, LIFO
Sirena_de_Filas, ¿Cual_es_la_filosofia_de_orden_de_entrada_de_una_Fila_(Queue)?, 7, LIFO, FILO, FOFI, FIFO
Zombi_Encadenado, ¿Que_campo_de_un_nodo_en_una_Lista_Encadenada_indica_donde_se_encuentra_el_siguiente_elemento?, 6, data, root, head, next
Espectro_de_la_Pila, ¿Cual_es_el_nombre_de_la_operacion_para_insertar_un_elemento_en_una_Pila?, 8, top, peek, pop, push
Sirena_de_Filas, ¿Cual_es_la_operacion_de_una_Fila_(Queue)_que_devuelve_el_valor_del_elemento_al_frente_SIN_eliminarlo?, 7, pop, push, peek, front
Troll_del_Heap, ¿Cual_es_la_complejidad_del_algoritmo_Heap_Sort?, 13, O(n^2), O(n), O(log_n), O(n_log_n)
Minotauro_del_AVL, ¿Como_se_define_el_Factor_de_Balanceo_de_un_nodo_en_un_Árbol_AVL?, 11, Altura_Izquierda_-_Altura_Derecha, Suma_de_alturas_de_subarboles, Altura_Total_/_2, Altura_Derecha_-_Altura_Izquierda
Murcielago_del_BST, En_un_BST_¿que_regla_deben_cumplir_los_descendientes_izquierdos_de_un_nodo?, 9, Tener_el_mismo_valor, Tener_un_valor_mayor, Ser_el_ultimo_en_ser_insertado, Tener_un_valor_menor_al_padre
Grifo_de_la_Busqueda, ¿Cual_es_la_aplicacion_principal_del_recorrido_Inorden_en_un_ABB?, 7, Generar_una_replica_del_arbol, Liberar_los_nodos_del_arbol, Buscar_el_nodo_raiz, Desplegar_en_orden_creciente_los_elementos
Minotauro_del_AVL, "Si_al_agregar_un_nodo_a_un_AVL,_su_Factor_de_Balanceo_cambia_a_+2_o_-2,_¿que_proceso_se_debe_realizar?", 11, Reacomodar_hacia_arriba, Eliminar_la_raiz, Reacomodar_hacia_abajo, Rotacion
Minotauro_del_AVL, "Si_el_Factor_de_Balanceo_de_un_nodo_AVL_es_-1,_¿que_indica?", 11, Las_alturas_son_iguales, El_subarbol_derecho_es_mas_alto, El_nodo_es_la_raiz, El_subarbol_izquierdo_es_mas_alto
Troll_del_Heap, "En_un_Heap_(Max_Heap),_¿que_propiedad_debe_cumplir_un_nodo_padre_respecto_a_sus_hijos?", 13, Tener_un_valor_menor, Estar_a_la_izquierda, Ser_un_nodo_hoja, Tener_un_valor_de_mayor_prioridad
Murcielago_del_BST, ¿Que_es_un_Nodo_Hoja_en_un_Árbol_Binario?, 9, El_nodo_con_mas_descendientes, El_primer_elemento_agregado, Un_nodo_con_factor_de_balanceo_0, Aquel_nodo_que_no_tiene_hijos
Grifo_de_la_Busqueda, El_orden_de_visita_del_recorrido_Preorden_es:, 7, "Izquierdo,_Raiz,_Derecho", "Izquierdo,_Derecho,_Raiz", "Raiz,_Derecho,_Izquierdo", "Raiz,_Izquierdo,_Derecho"
Ciempies_Hashing, ¿Que_metodo_de_funcion_de_Hashing_consiste_en_dividir_la_llave_entre_el_tamano_de_la_tabla_y_usar_el_residuo?, 10, Seleccion_de_Digitos, Cuadratica, Folding, Residuales
Ciempies_Hashing, ¿Que_estrategia_para_colisiones_reacomoda_el_elemento_colisionado_DENTRO_del_espacio_de_la_Tabla?, 10, Encadenamiento_Externo, Hashing_Abierto, Encadenamiento_de_Colisiones, Metodos_de_Direccion_Abierta
Ciempies_Hashing, "En_el_metodo_de_Prueba_Lineal_para_colisiones,_la_formula_de_la_nueva_posicion_es_dir_base_+_J._¿Que_representa_J?", 10, Tamano_de_la_tabla, Valor_de_la_llave, Direccion_original, Cantidad_de_colisiones_que_ha_provocado_esa_llave
Ciempies_Hashing, ¿Como_se_representan_tipicamente_los_'buckets'_en_el_metodo_de_Encadenamiento_Externo?, 10, Arreglos, Heaps, Árboles_AVL, Listas_encadenadas
Ciclope_del_Grafo, ¿Que_estructura_de_datos_auxiliar_utiliza_el_algoritmo_de_recorrido_Breadth_First?, 14, Pila_(Stack), Árbol, Mapa, Fila_(Queue)
Ciclope_del_Grafo, ¿Que_estructura_de_datos_auxiliar_utiliza_el_algoritmo_de_recorrido_Depth_First?, 14, Fila_(Queue), Árbol, Mapa, Pila_(Stack)
Guerrero_de_la_Burbuja, ¿Como_se_llama_a_una_trayectoria_en_un_grafo_donde_el_Nodo_de_Inicio_y_el_de_Terminacion_son_iguales?, 2, Trayectoria_Simple, Arco, Subgrafo, Ciclo
Ciclope_del_Grafo, "En_un_grafo_dirigido_(Digrafo),_¿como_se_llama_el_primer_elemento_de_un_arco?", 14, Arco_adyacente, Destino, Trayectoria, Origen
Ciclope_del_Grafo, ¿Que_representacion_de_grafos_desperdicia_espacio_si_el_grafo_es_NO-Dirigido?, 14, Lista_de_Arcos, Lista_de_Adyacencias, Listas_Encadenadas_Circulares, Matriz_de_Adyacencias
Kraken_de_SQL, ¿Que_tipo_de_JOIN_devuelve_todas_las_filas_de_la_tabla_izquierda_y_solo_las_filas_coincidentes_de_la_tabla_derecha?, 15, FULL_JOIN, RIGHT_JOIN, OUTER_JOIN, LEFT_JOIN
Hada_de_la_Integridad, ¿Que_regla_del_Modelo_Relacional_garantiza_que_la_llave_primaria_es_unica_y_no_nula?, 9, Integridad_Referencial, Restriccion_de_Dominio, Normalizacion, Integridad_de_Entidad
Golem_de_ER, ¿Como_se_mapea_una_relacion_Muchos_a_Muchos_(M:N)_en_el_Modelo_Relacional?, 6, Con_una_FK_en_la_tabla_del_lado_M, Con_una_FK_en_la_tabla_del_lado_N, Creando_un_atributo_multivalor, Creando_una_tabla_intermedia
Golem_de_ER, ¿Los_atributos_derivados_se_almacenan_en_el_Modelo_Relacional?, 6, "Si,_como_FKs", "Si,_se_almacenan_y_se_actualizan", "Si,_si_tienen_el_mismo_tipo_de_dato", "No,_se_calculan_cuando_se_necesitan"
Hada_de_la_Integridad, ¿Que_regla_asegura_que_una_Llave_Foranea_coincida_con_un_valor_existente_en_la_PK_de_otra_tabla?, 9, Integridad_de_Entidad, Restriccion_de_Dominio, Normalizacion, Integridad_Referencial
Kraken_de_SQL, ¿Que_clausula_de_SQL_se_usa_para_aplicar_una_condicion_a_los_resultados_de_una_funcion_de_grupo_(agregacion)?, 15, WHERE, GROUP_BY, SELECT, HAVING
Golem_de_ER, ¿Que_tipo_de_entidad_depende_de_una_entidad_fuerte_para_su_identificacion_y_usa_la_PK_de_la_entidad_fuerte?, 6, Entidad_Recursiva, Entidad_Normal, Entidad_Fuerte, Entidad_Debil
Limo_de_Memoria, ¿Que_operador_se_utiliza_en_C++_para_crear_espacio_de_almacenamiento_dinamico?, 5, &, *, free, new
Limo_de_Memoria, ¿Cual_es_el_simbolo_del_Operador_de_Direccion_que_genera_la_direccion_de_una_variable?, 5, *, new, ->, &
Limo_de_Memoria, ¿En_que_area_de_memoria_se_localizan_las_variables_y_objetos_creados_dinamicamente?, 5, Stack, RAM, ROM, Heap
Limo_de_Memoria, "Si_un_apuntador_ya_esta_apuntando_a_un_espacio_dinamico_y_se_le_asigna_un_nuevo_valor_con_new,_¿que_problema_se_genera?", 5, Fallas_de_ejecucion, Se_libera_la_memoria_automaticamente, No_se_permite_la_reasignacion, Se_deja_memoria_volando_(memory_leak)
